artist,genre
DAFT PUNK,"['house', 'filter house', 'electronic', 'electro house', 'edm', 'electro']"
Alexandra Burke,"['talent show', 'pop', 'dance pop', 'deep dance pop', 'europop', 'teen pop']"
PAUL LEKAKIS,"['hi nrg', 'freestyle', 'italian disco']"
MODERNAIRES / PAULA KELLY,[]
BANABILA & MACHINEFABRIEK,[]
[ingenting],"['norwegian rock', 'swedish indie rock']"
THE WAILERS,"['reggae', 'roots reggae']"
LIL' MO featuring FABOLOUS,"['hip pop', 'r&b', 'urban contemporary', 'new jack swing', 'neo soul']"
INTRUDERS,"['motown', 'chicago soul', 'quiet storm', 'soul', 'southern soul', 'memphis soul']"
LOVE TRIBE,[]
LIL BOW WOW,[]
Hatcha and Kromestar,['dubstep']
KASHIF,"['post-disco', 'quiet storm', 'funk', 'classic funk rock']"
Corrupt Souls,"['neurofunk', 'darkstep']"
Boy Howdy,[]
THE ACCENTS featuring SANDI,"['soda pop', 'doo-wop']"
SALVAGE,[]
D'ZYRE,"['freestyle', 'deep freestyle']"
DELBERT & GLEN,[]
KEEDY,[]
Stickybuds,[]
DEJ LOAF featuring BIG SEAN,['trap music']
Boom Bap Project,"['underground rap', 'abstract hip hop', 'underground hip hop']"
Purky,[]
SISSY SPACEK,[]
GRAHAM PARKER,"['pub rock', 'roots rock', 'cowpunk', 'singer-songwriter']"
SYLVIA & THE MOMENTS,[]
THE REBELS,[]
Slow Head,[]
Mumdance,[]
TONI FISHER,['deep adult standards']
Chris Karrer,['arab folk']
CRAZY TOWN,"['rap rock', 'rap metal', 'nu metal', 'funk metal', 'alternative metal', 'funk rock', 'industrial metal', 'groove metal', 'post-grunge']"
JUSTINE (BABY) WASHINGTON,[]
Justin McBride,"['modern country rock', 'country road']"
Bonnie Pointer,"['hi nrg', 'disco']"
EMERSON DRIVE,"['country road', 'contemporary country', 'canadian country', 'country', 'modern country rock']"
P-Live,['detroit hip hop']
Red Foo,['deep flow']
Torn Hawk,['outsider house']
Red Carpet,"['disco house', 'vocal house', 'house', 'progressive electro house']"
TOMMY McLAIN,['swamp pop']
GARY O,[]
SIMON SCOTT,"['warm drone', 'nu age', 'drone']"
Blackgirl,"['new jack swing', 'new jack smooth']"
BOBBY NUNN,"['post-disco soul', 'post-disco', 'soul christmas']"
JONAS BROTHERS,"['teen pop', 'boy band', 'pop christmas', 'pop', 'dance pop', 'pop rock']"
Elef,['deep tech house']
BIONIC BOOGIE,['deep disco']
ERUPTION,"['hi nrg', 'italian disco', 'disco']"
CHAD STEWART & JEREMY CLYDE,"['british invasion', 'merseybeat', 'bubblegum pop', 'british blues']"
WEBBIE,"['crunk', 'trap music', 'dirty south rap', 'southern hip hop', 'pop rap', 'gangster rap']"
Steve Wallace,['neo soul-jazz']
VANESSA HUDGENS,"['teen pop', 'pop christmas', 'dance pop', 'pop']"
THE FAITH BAND,[]
Tune Brothers,"['pop house', 'progressive electro house']"
Ben Sage,"['neurofunk', 'drum and bass']"
CAROLE KING,"['folk-pop', 'singer-songwriter', 'folk christmas', 'soft rock', 'folk rock', 'mellow gold', 'folk', 'traditional folk', 'brill building pop', 'new wave pop', 'roots rock', 'neo mellow', 'pop rock']"
Steve'n King,[]
BJC,[]
Tahiti 80,"['shibuya-kei', 'french rock']"
See Me River,['seattle indie']
Heavy Winged,"['experimental psych', 'japanese psychedelic', 'rock noise', 'drone psych']"
Fraktophon,['full on']
THE TEE SET,"[""traditional rock 'n roll""]"
RUSS MORGAN & HIS ORCHESTRA / AL JENNINGS,[]
Saca,[]
Lazy Rich,"['complextro', 'melbourne bounce']"
AL B SURE !,"['new jack swing', 'quiet storm', 'urban contemporary']"
S-X,['belgian rock']
THE ZEPHYRS,"['slow core', 'shoegaze', 'dream pop']"
THE SHIRELESS,[]
Sex Worker,"['vaporwave', 'hauntology', 'experimental psych']"
Sach,[]
Zanetic,"['minimal dubstep', 'substep', 'catstep', 'filthstep']"
JOHNNY TAYLOR,[]
Teddy Riley,['new jack swing']
EVELYN KNIGHT,['deep adult standards']
THE GLASS BOTTLE featuring GARY CRISS,[]
THE NEW VAUDEVILLE BAND featuring TRISTAM VII,"['merseybeat', 'british invasion', 'bubblegum pop']"
P!NK,"['pop', 'dance pop', 'teen pop', 'europop', 'pop rock']"
B2K,"['boy band', 'urban contemporary', 'r&b', 'pop christmas', 'hip pop', 'dance pop', 'soul christmas', 'new jack swing', 'alternative r&b', 'pop']"
FORT MINOR featuring STYLES OF BEYOND,"['rap rock', 'pop rap', 'alternative hip hop', 'hip hop']"
Samsara Blues Experiment,"['retro metal', 'deep space rock', 'space rock']"
Unified Tribe,[]
Francesco Bonora,['deep deep house']
CLARENCE CARTER,"['southern soul', 'memphis soul', 'chicago soul', 'soul blues', 'beach music', 'soul christmas', 'soul', 'jazz blues', 'motown', 'jazz christmas']"
DAVID ARCHULETA,"['teen pop', 'idol', 'pop christmas', 'viral pop', 'dance pop', 'pop']"
Busta Rhymes,"['hip hop', 'rap', 'hardcore hip hop', 'pop rap', 'gangster rap', 'juggalo', 'rap rock', 'alternative hip hop', 'pop christmas']"
THE SURFARIS,['surf music']
AUDIOSLAVE,"['funk metal', 'alternative metal', 'funk rock', 'post-grunge', 'grunge', 'rap rock', 'nu metal', 'alternative rock', 'permanent wave', 'rock', 'rap metal', 'groove metal']"
Kurd Maverick,"['pop house', 'house', 'disco house']"
CHER LLOYD featuring BECKY G,"['pop', 'talent show', 'teen pop', 'deep dance pop', 'viral pop', 'dance pop']"
REUNION,[]
Paula Abdul,"['hi nrg', 'dance pop', 'new wave pop', 'europop']"
Stacy Lattisaw,"['hi nrg', 'post-disco', 'disco', 'quiet storm', 'funk', 'motown']"
Boy 8-Bit,"['fidget house', 'destroy techno']"
JOHN GARY,"['easy listening', 'christmas', 'adult standards']"
Tapi,[]
K Skills,['deep flow']
Action Biker,"['c86', 'twee pop']"
VISCOUNTS,"['rock-and-roll', 'merseybeat']"
JUST US,[]
RAY PETERSON,"['brill building pop', 'rock-and-roll']"
G & G,[]
SLAVE,[]
Thesis Sahib,"['outer hip hop', 'chip hop', 'abstract hip hop']"
Steve Maxwell von Braund,[]
Sapient,"['underground rap', 'abstract hip hop']"
T.I. featuring RIHANNA,"['pop rap', 'southern hip hop', 'dirty south rap', 'trap music', 'crunk', 'gangster rap', 'hip hop']"
CATHY DENNIS,"['freestyle', 'hi nrg', 'new wave pop', 'hip house']"
Death in Vegas,"['big beat', 'electronic', 'trip hop', 'chill-out', 'downtempo', 'breakbeat', 'electroclash', 'intelligent dance music', 'techno', 'madchester']"
DEVO,"['zolo', 'post-punk', 'dance rock', 'new wave', 'uk post-punk', 'experimental rock', 'protopunk', 'art rock', 'new romantic', 'glam rock', 'punk', 'new wave pop', 'synthpop']"
DAVID DUNDAS,[]
JA RULE featuring LIL' MO & VITA,"['rap', 'hip hop', 'pop rap', 'hip pop', 'gangster rap', 'hardcore hip hop', 'southern hip hop', 'dirty south rap', 'crunk']"
Griminal,['grime']
FRANCIS LAI,"['classic soundtrack', 'soundtrack', 'exotica', 'easy listening', 'lounge']"
Tech Trax Inc.,[]
Beverley Craven,"['sinhala', 'new wave pop']"
K.C. & THE SUNSHINE BAND,"['disco', 'hi nrg', 'classic funk rock', 'funk', 'funk rock']"
A Made Up Sound,"['bass music', 'future garage', 'dubstep']"
FAT JOE feat TONY SUNSHINE & ARMAGEDDON,"['gangster rap', 'rap', 'pop rap', 'hip hop', 'hardcore hip hop', 'dirty south rap', 'crunk', 'hip pop', 'southern hip hop', 'juggalo', 'east coast hip hop', 'trap music']"
"DAVE ""BABY"" CORTEZ",[]
IKE & TINA TURNER,"['soul', 'southern soul', 'soul blues', 'memphis soul', 'motown', 'chicago soul', 'jazz blues', 'classic funk rock', 'rock-and-roll', 'brill building pop', 'funk rock', 'quiet storm', 'funk']"
ROLF HARRIS,[]
THE NOTORIOUS B.I.G.,"['rap', 'hip hop', 'gangster rap', 'hardcore hip hop', 'pop rap']"
Dub Scout,['filthstep']
TwinSpirit,['neo soul-jazz']
JOEY McINTYRE,['boy band']
JESSE COLIN YOUNG,"['folk rock', 'traditional folk', 'folk', 'singer-songwriter', 'mellow gold', 'folk christmas', 'country rock', 'folk-pop', 'roots rock', 'soft rock']"
eunice,[]
CHRIS BROWN featuring LIL WAYNE & BUSTA RHYMES,"['dance pop', 'r&b', 'urban contemporary', 'pop', 'pop christmas', 'soul christmas']"
Not Waving,[]
THREE DIMENSIONS with THE THING,[]
DWELE,"['neo soul', 'r&b']"
Goodie Mob,"['dirty south rap', 'southern hip hop', 'crunk', 'hip hop', 'gangster rap', 'pop rap', 'juggalo', 'rap', 'alternative hip hop']"
Rachel Stevens,"['europop', 'dance pop', 'talent show', 'pop', 'teen pop']"
Silent Poets,"['downtempo', 'trip hop', 'ninja', 'nu jazz', 'acid jazz', 'chill-out', 'j-rap', 'chill lounge']"
VESTA,[]
Sharleen Spiteri,['new wave pop']
Loick Essien,['grime']
JENNIFER HUDSON & NE-YO featuring RICK ROSS,[]
BATAAN,[]
COOLIO featuring L.V.,"['gangster rap', 'g funk', 'juggalo', 'west coast rap', 'rap', 'hip hop', 'old school hip hop', 'hardcore hip hop', 'pop rap']"
Potatohead People,['vancouver indie']
Raheem,[]
FROIDZ,"['complextro', 'big room']"
Jewelz,"['big room', 'progressive electro house', 'edm']"
BULLDOG,[]
MICHAEL JACKSON / PAUL McCARTNEY,[]
PROJECT PAT,"['memphis hip hop', 'crunk', 'dirty south rap', 'southern hip hop', 'trap music', 'gangster rap', 'juggalo', 'pop rap']"
Junior Senior,"['alternative dance', 'new rave', 'dance-punk', 'indietronica', 'synthpop', 'danish pop']"
SEALS & CROFTS,"['soft rock', 'mellow gold', 'folk rock', 'country rock', 'traditional folk', 'singer-songwriter', 'folk-pop']"
UNDERGROUND SUNSHINE,[]
HIGH SCHOOL MUSICAL 2 CAST,[]
Funkerman,"['disco house', 'house', 'vocal house', 'edm', 'pop house', 'electro house']"
Kaney,['filthstep']
PETE ROCK & C.L. SMOOTH,"['hip hop', 'east coast hip hop', 'rap', 'underground hip hop', 'old school hip hop', 'hardcore hip hop', 'turntablism']"
VICKI ANDERSON,['deep funk']
THE GO-GO'S,"['new wave pop', 'candy pop', 'permanent wave', 'dance rock', 'new romantic', 'jangle pop', 'new wave']"
MYSTIKAL,"['dirty south rap', 'gangster rap', 'crunk', 'southern hip hop', 'juggalo', 'pop rap', 'trap music', 'hip pop', 'hip hop']"
CARLY SIMON,"['folk-pop', 'soft rock', 'mellow gold', 'folk christmas', 'traditional folk', 'singer-songwriter', 'folk rock', 'folk', 'brill building pop', 'adult standards', 'pop christmas', 'new wave pop']"
Side Effekt,"['ambeat', 'abstract beats']"
DAVID GUETTA featuring KELLY ROWLAND,"['house', 'edm', 'electro house', 'disco house', 'pop house', 'dance pop']"
JHENE AIKO,"['indie r&b', 'r&b']"
D-MOB & CATHY DENNIS,[]
Rob Small,['deep tech house']
THE HARRY SIMEON CHORALE,[]
FJH,[]
JERRY WALLACE,"['deep adult standards', 'nashville sound', 'cowboy western', 'country gospel', 'traditional country']"
SEAN KINGSTON,"['dance pop', 'pop rap', 'soul christmas', 'pop christmas', 'urban contemporary']"
Roman Fluegel,[]
CaP D,"['flick hop', 'underground rap']"
Ryan Bales Band,[]
Joachim Garraud,"['house', 'electro house', 'edm', 'big room', 'progressive electro house', 'progressive house']"
